s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0;2;0;-0.61184067217814;-0.0228061955422163;5;0
0.100000001490116;2.12268688554375;-0.086288333537419;-0.614033646268714;-0.0210623349994421;5;0
0.200000002980232;2.24518613530138;-0.172830882666155;-0.616052574796546;-0.0193174686282873;5;0
0.300000011920929;2.36751331012634;-0.25960655428747;-0.617896980924478;-0.0175717826932669;5;0
0.400000005960465;2.48968393425313;-0.346594229661761;-0.619566387815347;-0.0158254336565733;5;0
0.5;2.61171364139752;-0.433772867508429;-0.621061272306314;-0.0140785593539476;5;0
0.600000023841858;2.73361797437891;-0.521121361514935;-0.622381634397378;-0.0123312715440989;5;0
0.699999988079071;2.85541251263568;-0.608618631009607;-0.623526997251382;-0.0105836633592844;5;0
0.800000011920929;2.9771127613667;-0.696243545469469;-0.624497837705484;-0.00883581396192312;5;0
0.899999976158142;3.09873440966686;-0.783975101431526;-0.625293678922525;-0.00708778481930494;5;0
1;3.22029285408012;-0.871792089733696;-0.625914997739663;-0.00533962575718761;5;0
1.10000002384186;3.34180385693925;-0.959673558194716;-0.626361317319741;-0.00359137798659503;5;0
1.20000004768372;3.46328273994776;-1.04759824865946;-0.626633114499917;-0.00184307468589395;5;0
1.29999995231628;3.58474533907697;-1.13554525965621;-0.626729912443032;-9.47441949392669E-05;5;0
1.39999997615814;3.70620697843419;-1.22349332959682;-0.626652187986245;0.00165358767844737;5;0
1.5;3.82768341754777;-1.31142151030523;-0.626399464292398;0.00340189528651535;5;0
1.60000002384186;3.94919012700081;-1.39930864275674;-0.625971741361489;0.00515015050768852;5;0
1.70000004768372;4.07074272465351;-1.48713366934576;-0.625369496030679;0.00689832074567676;5;0
1.79999995231628;4.19235682195583;-1.57487554162147;-0.624592728299966;0.00864636711776257;5;0
1.89999997615814;4.31404774541893;-1.66251299456267;-0.623640961332193;0.0103942388668656;5;0
2;4.43583140264949;-1.75002518026807;-0.622514195127359;0.0121418759226799;5;0
2.09999990463257;4.557723115351;-1.83739084058255;-0.621212906522622;0.0138892019167542;5;0
2.20000004768372;4.67973835490783;-1.92458881533707;-0.619737095517984;0.0156361274421215;5;0
2.29999995231628;4.80189302732413;-2.01159825891902;-0.618086285276284;0.017382537946105;5;0
2.40000009536743;4.92420245750849;-2.0983979085959;-0.616260952634683;0.0191283039748669;5;0
2.5;5.04668226011598;-2.18496671133951;-0.614261097593179;0.0208732672035694;5;0
2.59999990463257;5.16934805140425;-2.27128361183294;-0.612086720151773;0.0226172469556332;5;0
2.70000004768372;5.29221544602837;-2.357327557048;-0.609737812383968;0.0243600308895111;5;0
2.79999995231628;5.41529976889695;-2.44307728425218;-0.607214570120845;0.0261013805866241;5;0
2.90000009536743;5.53861692601411;-2.52851194783287;-0.60451706273568;0.0278410166501999;5;0
3;5.66218224228843;-2.61361028505759;-0.601645414792869;0.0295786336064339;5;0
3.09999990463257;5.78601133397757;-2.69835124060942;-0.598599772975716;0.031313881278038;5;0
3.20000004768372;5.91011981413405;-2.78271376374886;-0.59538030631927;0.0330463759601116;5;0
3.29999995231628;6.03452300766645;-2.8666765917434;-0.591987214126561;0.03477568551898;5;0
3.40000009536743;6.15923711673562;-2.95021907952997;-0.588420723640296;0.0365013405680656;5;0
3.5;6.28427687553929;-3.03331956098832;-0.584681096562121;0.0382228195667267;5;0
3.59999990463257;6.40965848784084;-3.11595738876668;-0.580768630915258;0.0399395637214184;5;0
3.70000004768372;6.53539727614505;-3.19811130356559;-0.576683661975834;0.0416509546339512;5;0
3.79999995231628;6.66150885510698;-3.27976025235685;-0.572426567860815;0.043356329202652;5;0
3.90000009536743;6.78800854883396;-3.36088297355229;-0.567997778841231;0.0450549684464931;5;0
4;6.91491226573395;-3.44145861810628;-0.563397768028948;0.0467461012303829;5;0
4.09999990463257;7.0427054694589;-3.52052264732663;-0.537661987432215;0.468180954456329;5;0
4.19999980926514;7.17375301724441;-3.59333658329825;-0.469528424628947;0.895022630691528;5;0
4.30000019073486;7.31051911866511;-3.65475506856743;-0.375576215871546;0.891874969005585;5;0
4.40000009536743;7.45254478785014;-3.70384989978022;-0.291928502806399;0.779985606670379;5;0
4.5;7.59802415894408;-3.7416413577544;-0.216792318114016;0.751243054866791;5;0
4.59999990463257;7.74576031583562;-3.76832743933682;-0.140130314120028;0.780612170696259;5;0
4.69999980926514;7.89507944712653;-3.78339897475134;-0.060752335079882;0.79601377248764;5;0
4.80000019073486;8.04519518165193;-3.78656366169274;0.0184448928749825;0.786971569061279;5;0
4.90000009536743;8.19512348086014;-3.77789130480096;0.0970635981476571;0.783874154090881;5;0
5;8.34388889243005;-3.7574905737311;0.175496456137922;0.783477365970612;5;0
5.09999990463257;8.49058261579175;-3.72549216854306;0.25410484980705;0.787517845630646;5;0
5.19999980926514;8.63430987115887;-3.68205415193492;0.332831618300703;0.784786641597748;5;0
5.30000019073486;8.7741877233365;-3.62745982995194;0.411422726622846;0.785857796669006;5;0
5.40000009536743;8.90934082215059;-3.56204153260249;0.490126606932905;0.784760594367981;5;0
5.5;9.03893778618545;-3.48621220218748;0.568683979026106;0.785207271575928;5;0
5.59999990463257;9.16217635634549;-3.40043671579867;0.647410509101179;0.785435259342194;5;0
5.69999980926514;9.27829546521794;-3.30524208270948;0.725976225844648;0.784703433513641;5;0
